月份,年份,10cm湿度(kg)
1,2012,13.73
2,2012,13
3,2012,12.6
4,2012,11.97
5,2012,14.18
6,2012,19.28
7,2012,19.64
8,2012,15.76
9,2012,17.12
10,2012,15.04
11,2012,14.79
12,2012,14.42
1,2013,14.09
2,2013,13.55
3,2013,12.85
4,2013,11.82
5,2013,12.73
6,2013,19.25
7,2013,20.34
8,2013,17.61
9,2013,14.49
10,2013,13.56
11,2013,11.92
12,2013,10.98
1,2014,10.55
2,2014,9.97
3,2014,13.96
4,2014,15.5
5,2014,16.73
6,2014,18.29
7,2014,16.7
8,2014,14.85
9,2014,12.84
10,2014,14.98
11,2014,13.72
12,2014,11.73
1,2015,11.17
2,2015,10.77
3,2015,9.93
4,2015,15.31
5,2015,14.55
6,2015,16.82
7,2015,17.13
8,2015,15.47
9,2015,17.31
10,2015,15.55
11,2015,14.55
12,2015,14.73
1,2016,14.11
2,2016,13.34
3,2016,12.26
4,2016,11.05
5,2016,15.43
6,2016,17
7,2016,17.33
8,2016,12.85
9,2016,16.22
10,2016,17.79
11,2016,16.33
12,2016,13.25
1,2017,12.48
2,2017,11.71
3,2017,11.1
4,2017,11.06
5,2017,11.81
6,2017,13.29
7,2017,15.33
8,2017,16.83
9,2017,14.24
10,2017,13.52
11,2017,12.13
12,2017,11.21
1,2018,10.69
2,2018,10.26
3,2018,9.75
4,2018,14.55
5,2018,13.94
6,2018,15.68
7,2018,19.66
8,2018,19.01
9,2018,18.27
10,2018,14.81
11,2018,12.47
12,2018,11.08
1,2019,10.27
2,2019,9.64
3,2019,10.02
4,2019,11.22
5,2019,15.88
6,2019,16.75
7,2019,17.25
8,2019,17.39
9,2019,12.68
10,2019,13.99
11,2019,13.89
12,2019,12.59
1,2020,12.21
2,2020,11.86
3,2020,11.95
4,2020,13.73
5,2020,16.51
6,2020,17.01
7,2020,21.31
8,2020,20.79
9,2020,20.04
10,2020,16.59
11,2020,15.04
12,2020,16.51
1,2021,15.17
2,2021,13.93
3,2021,14.37
4,2021,14.18
5,2021,14.77
6,2021,17.66
7,2021,22.1
8,2021,20.36
9,2021,21.01
10,2021,16.93
11,2021,13.91
12,2021,13.14
